"","word","sub","end_X","end_Y","respondTime","responseFlag"
"220","Sad",2,-240.62890625,-163.3046875,4.66737686400302,1
"221","Nervous",2,-188.16015625,77.7265625,3.91671001398936,1
"222","Relaxed",2,243.2109375,-198.91796875,3.52281756495358,1
"223","Enthusiastic",2,121.84375,139.7890625,3.6204972009873,1
"224","Happy",2,249.46484375,43.4921875,2.93400800495874,1
"225","Surprised",2,0.32421875,174.04296875,3.59761249297298,1
"226","Calm",2,250,-91.6171875,5.74798042699695,1
"227","Angry",2,-140.96484375,136.546875,6.80972939601634,1
"228","Disappointed",2,-163.37890625,-28.7421875,3.29774903203361,1
"229","Peppy",2,115.234375,192.91015625,5.17468110797927,1
"230","Annoyed",2,-102.51953125,-0.53515625,3.46033922903007,1
"231","Afraid",2,-225.0703125,153.5703125,5.12886369001353,1
"232","Aroused",2,249.9921875,133.2890625,5.51220668299356,1
"233","Quiet",2,0.61328125,-123.0078125,7.97810920799384,1
"234","Sluggish",2,-44.390625,-230.01953125,4.62942985002883,1
"235","Satisfied",2,167.42578125,0.57421875,5.22535375104053,1
"236","Still",2,0.6328125,-63.21875,6.67103423300432,1
"237","Quiet",20,224.93359375,-63.09375,5.49599932799902,1
"238","Afraid",20,-197.703125,144.078125,5.23081542900036,1
"239","Happy",20,238.234375,238.40234375,2.99230877400259,1
"240","Satisfied",20,222.14453125,246.296875,2.64758364899899,1
"241","Neutral",20,-4.0234375,-0.11328125,2.40624996699626,1
"242","Disgusted",20,-237.4921875,29.265625,3.53559834100452,1
"243","Disappointed",20,-222.08984375,-81.20703125,4.23833300299884,1
"244","Sluggish",20,-161.26953125,-240.7421875,3.08082047700009,1
"245","Calm",20,86.9296875,-214.33984375,4.78832164100459,1
"246","Nervous",20,-229.375,239.90625,3.8203547430021,1
"247","Surprised",20,159.73828125,69.26953125,4.5691397979972,1
"248","Still",20,-2.65625,-170.9453125,5.14577279400692,1
"249","Aroused",20,43.74609375,235.00390625,4.81100143300137,1
"250","Sad",20,-215.046875,-219.828125,3.33409659100289,1
"251","Annoyed",20,-224.59375,238.61328125,4.14723970199702,1
"252","Peppy",20,143.56640625,227.05859375,6.4882331819972,1
"253","Enthusiastic",20,193.03515625,218.29296875,5.28566897599376,1
"254","Angry",20,-218.6015625,236.44921875,2.6155876979974,1
"255","Relaxed",20,108.5625,0.0859375,4.78494987500017,1
"256","Sleepy",20,-101,-250,6.42484092899394,1
"257","Afraid",21,-87.98828125,158.99609375,3.20642631199735,1
"258","Neutral",21,-1.078125,1.609375,1.74809605700284,1
"259","Happy",21,210.69140625,162.3671875,1.90664474200457,1
"260","Enthusiastic",21,186.7890625,211.18359375,1.94237860199792,1
"261","Calm",21,37.85546875,-192.37109375,2.53973631199915,1
"262","Still",21,-0.9140625,-0.51953125,2.71597293000377,1
"263","Nervous",21,-205.62109375,150.9140625,2.90618723900116,1
"264","Aroused",21,3.703125,210.5625,2.57649459700042,1
"265","Annoyed",21,-112.64453125,-184.04296875,2.70817828400322,1
"266","Sluggish",21,-156.34765625,-148.07421875,3.13654363299429,1
"267","Disgusted",21,-60.26953125,49.66015625,3.45814957699622,1
"268","Sad",21,-155.890625,-90.80859375,3.35996229299781,1
"269","Sleepy",21,-0.62890625,-220.54296875,2.19645849900553,1
"270","Angry",21,-218.265625,234.94921875,3.09134383600031,1
"271","Disappointed",21,-159.59765625,0.96484375,3.69903097600036,1
"272","Surprised",21,6.87890625,131.42578125,3.12532667200139,1
"273","Satisfied",21,103.84765625,-119.609375,3.03860701499798,1
"274","Peppy",21,-0.7734375,-4.73046875,4.26599655999598,1
"275","Relaxed",21,-3.41796875,-54.08984375,4.8592407670003,1
"276","Quiet",21,61.6953125,-89.9921875,2.60441757499939,1
"277","Aroused",22,234.15625,27.62890625,4.33125489999657,1
"278","Enthusiastic",22,224.65625,-226.79296875,2.95912470300391,1
"279","Afraid",22,-237.41015625,168.7421875,3.92404575500404,1
"280","Sluggish",22,-148.3046875,-244.0546875,3.41322089498863,1
"281","Peppy",22,159.640625,236.3046875,3.96660354800406,1
"282","Still",22,0.74609375,1.66796875,2.93791132900515,1
"283","Disgusted",22,-234.921875,189.70703125,3.61401876399759,1
"284","Nervous",22,-104.87109375,239.16796875,6.05938956000318,1
"285","Neutral",22,-0.55078125,0.03515625,2.15991798600589,1
"286","Sleepy",22,-52.12890625,-246.48046875,4.01175058800436,1
"287","Satisfied",22,229.484375,-232.796875,2.72171119200357,1
"288","Annoyed",22,-114.75390625,137.7265625,3.01665641499858,1
"289","Sad",22,-243.953125,-124.31640625,2.16086663299939,1
"290","Happy",22,217.55859375,88.0859375,2.46267396700568,1
"291","Angry",22,-181.0078125,190.27734375,2.16621982400829,1
"292","Quiet",22,-54.28125,-228.2578125,4.54593665400171,1
"293","Surprised",22,201.31640625,186.57421875,2.7265773669933,1
"294","Calm",22,226.3515625,-104.0703125,3.88004633798846,1
