,sub,beta,w1,w2,w3,log_lik
126,126,0.14369148043458935,9.620336670244846,-3.2721673410055803,-8.716843687247316,-13.572507073387664
127,127,11.6105856635788,-191.5476025951045,318.1828206659797,-103.03537700663198,-0.0024104058153440896
131,131,0.004702216986858481,-699.3748780434172,1527.0206346564828,952.4645695320357,-9.072626921664147
132,132,0.8545178652425227,12.829412697746665,29.406380509548633,-31.18078516229053,-3.086790760207302
134,134,-4.788748892431329,-14.511222089297927,118.88929150642332,-161.92304483836762,0.0
136,136,14.140840498654807,-38.363964894900164,79.36767583470369,86.32501845723638,-0.00025941947689047854
138,138,0.3897575669458467,5.510196108516442,10.090032480054173,673.197202216506,-6.424354715790429
139,139,0.010631498672410793,257.13193559966373,37.1247262203856,176.94981724509756,-10.770625115032953
141,141,0.05683072743698584,109.48600452576156,-108.01495126979142,-27.634488308489615,-11.46305259025834
143,143,0.0403246756340286,188.911397701358,117.48185043896353,130.5210059833284,-4.461146308262192
146,146,2.4638201037773517,10.256474027479936,2.668355496266778,-5.94607993770301,-2.4329280708435967
147,147,0.3709620423732748,2.4900750637812843,35.135241709336064,-16.52268612858834,-5.229648073989912
149,149,21.334041109707854,20.112849765068137,10.043840083235885,-57.994720986463655,0.0
150,150,152.35695393874164,-1.9756226357922748,3.1930871348104146,4.89008208342883,-1.0280816683069969e-06
155,155,12.423479567592569,-0.3044421101375839,1.268228678181404,0.40820108869765226,-3.858779326038999
156,156,-0.291249544222443,-6.198395973440753,15.037227207839129,73.61468284227388,-10.428401129315517
160,160,1.6091604376467679,-25.945960690383792,45.230804501050045,-33.60744916960676,-1.7247947683531804
163,163,-16.0884370077612,0.20204309684682276,-0.3080843361605149,5.374981747367899,-12.733275537370913
167,167,0.8713324232668909,9.071106747630427,68.01731256366797,32.390908138725294,-2.530116496784186
168,168,0.03652036623340292,194.5409551585418,45.0926734595883,-198.30277568919067,-9.176533847164924
173,173,0.12430362136724099,94.03560932659312,58.08300496370062,10.97133269258693,-5.132217671650472
175,175,133.99343369411864,91.10770857311131,74.64316350037532,-88.19401764998983,0.0
176,176,0.6866833243588362,-14.187982735362109,22.804628613236734,22.354674086742765,-8.43201731592798
177,177,20.8822647887258,35.18092522400772,6.81931563030192,-9.140214986087551,0.0
178,178,0.0876048737006348,-33.21044244397479,186.23139478241006,-184.31542737332288,-6.877274119580507
180,180,0.20490121176044956,26.618068554539477,5.916141975913704,-14.337824959828676,-9.934538262058684
181,181,1.7779630021417314,1.910757450933172,5.027248273069385,-171.2960468879481,-6.899073961331437
183,183,0.5050195556068544,-52.06448064704277,50.96171237782251,159.0944718508963,-5.509196376864786
184,184,0.6272325810273378,18.069602737765592,32.713957078961464,-40.62388040493801,-8.281482186681355
185,185,7.498029296198752,0.5960124424491938,-2.3349198414622467,7.55924997449586,-7.197541095803137
188,188,0.6997162756523618,2.2868414880083394,-10.838268567843688,18.877032347338368,-7.1719959639124795
191,191,0.6248430645644827,6.607429114862587,-3.998250282777623,5.323761898952728,-10.893585716032408
194,194,8.816097063873203,182.01671044603398,-261.2526807845567,99.37485582341905,-1.5163115257359743e-08
195,195,-31.62494952615654,17.98975654414727,-10.67689054960801,15.376077747680043,0.0
196,196,0.1383012915612361,53.005073347815966,-32.16022869967429,6.538406037250381,-8.395008695297383
203,203,0.30174463151604264,-22.407283723557246,9.25798647602739,48.684651677289544,-7.633570159590414
204,204,-7.638384701054893,-8.943087341319265,61.249234682248705,-11.8044110742001,0.0
206,206,63.72171041994645,0.36685140504105307,-0.11237026775441315,-0.33182833123017647,-3.5833172651439673
207,207,0.3467483092680141,-7.0513460336554985,94.98361351758412,5.285443985316514,-3.810184979458966
209,209,-94.43344196518669,-0.061288657265862204,-0.2447481894113218,0.321484661046465,-9.281277976017329
212,212,0.2878495416422223,-5.227226786587336,1.9809393786772365,12.357643147175704,-12.118851675306335
218,218,11.830462198612505,-7.9521920558686086,93.96892947305258,16.248301193121712,-0.026288433331128812
219,219,0.18739752069159477,-55.60572732461464,278.5702267990034,13.105580240891504,-5.8407609810983026
