,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
293.0,293.0,-10.176416219537288,-10.12622004980835,-10.073679315126356,-9.961081128923245,-9.869556873883992,-9.822752397111032
297.0,297.0,-12.854975468252366,-12.832815335439037,-9.283469425198048,-12.108651934417532,-12.102831044420755,-9.283469434252218
299.0,299.0,-13.293194491105169,-12.460147674182032,-12.299087983377168,-13.292351066051369,-12.460147674202142,-12.299087983565313
300.0,300.0,-11.788881077207956,-11.667492432681588,-11.650399166318918,-11.26620329266193,-10.982365170852308,-10.94252354789621
301.0,301.0,-12.969457615653837,-11.480435961905943,-11.05106485651811,-12.472582413018145,-11.480435961906533,-11.051064856561846
303.0,303.0,-11.628271959236514,-11.383430266519078,-11.359044682008092,-10.641309185986414,-10.544743703481382,-10.490847580390318
313.0,313.0,-13.722123485974667,-13.721949597637423,-12.732023979938704,-12.476649250079015,-12.029038782876354,-10.0497491585657
314.0,314.0,-9.38730352103695,-8.897599325870999,-7.485788632496332,-8.617454664638952,-8.617443639273661,-7.254694415893948
316.0,316.0,-10.693955303430522,-10.688009246496193,-10.019421885775717,-10.563863815912411,-10.532271165113178,-9.228819739975862
318.0,318.0,-13.787800149033119,-13.569373126101782,-13.511306556933786,-13.787800149035355,-13.569373126101823,-13.51130655693411
322.0,322.0,-10.536265746772603,-10.527224456039484,-10.178510178995603,-10.536265746773212,-10.527224456052883,-10.17851017899226
325.0,325.0,-13.17899503753738,-13.17289882750924,-13.047424040021413,-13.1789950375653,-13.172898827509703,-13.047424040044778
326.0,326.0,-2.327617821984752,-2.1395865613464586,0.0,-2.3276178219973795,-2.139586561358068,0.0
327.0,327.0,-2.5999756282442434,0.0,0.0,-2.0747051531041047,0.0,0.0
328.0,328.0,-7.908064192897198,-7.851042826657337,-6.018004592053331,-7.908064192988324,-7.108080335865352,-4.331986104786342
329.0,329.0,-13.218619330739461,-13.053306512526412,-8.413707744363574,-12.004564533925475,-11.987801783106825,-8.786571678600865
331.0,331.0,-12.5812213166809,-12.547815375843552,-12.326100610545543,-12.581221316743653,-12.050872256480986,-11.944276836689971
333.0,333.0,-9.899527292601421,-9.416469193059063,-8.673717238743023,-9.899527292665024,-9.208019573789382,-7.839858614466268
335.0,335.0,-9.827819535880625,-9.556459702788077,-7.919518948853229,-9.82781953588235,-8.565427145967673,-6.911062299034505
339.0,339.0,-2.3450352386446136,0.0,0.0,-2.3450352386449804,0.0,0.0
344.0,344.0,-13.231454150749293,-13.220364131497712,-13.089507249481702,-12.417680550490935,-12.390426916685408,-12.38984208348794
346.0,346.0,-7.031372088428201,-6.641429095777448,-6.521499847654043,-6.8668834549952935,-6.5567569309074,-6.205216213333453
350.0,350.0,-7.196137011359412,-6.130072908947744,-9.23585709938982e-06,-6.4611134582080645,-5.468758479847045,-1.0133041622076791e-07
357.0,357.0,-10.476229771446377,-10.29199183361065,-9.954902797669485,-10.47622977172727,-10.291991833656798,-9.780769601539502
358.0,358.0,-12.504583982534356,-12.469025046885971,-12.457578500393465,-12.504583982885734,-12.469025046901688,-12.457578500408243
361.0,361.0,-13.445643729768133,-13.445589034315473,-12.6606689715695,-13.363603195010576,-13.349832256288941,-12.275979472584872
362.0,362.0,-9.52688201423585,-9.391011309197893,-7.742880545641906,-8.820717161159038,-8.815588800658913,-7.61525612776776
369.0,369.0,-1.3862943611198906,-0.0004315755321230724,-0.00016632980877301544,-1.3862943611198906,-0.0004315755608622919,-0.0001687064793696128
370.0,370.0,-4.111319931334928,-2.9249424431566373,-2.8301974428463215,-2.931839382230301,-2.2473263575322786,-2.2472600909163405
371.0,371.0,-8.109664896005713,-7.784783075027578,-6.480182211274476,-8.013130473809253,-7.763481786832485,-6.480182211277755
372.0,372.0,-6.890906350537139,-6.575662413637169,-5.489293554514689,-6.736871862458671,-6.509620445362107,-5.313718226380532
374.0,374.0,-11.277745376256913,-11.091205191418847,-7.406424297981293,-10.174179053625023,-10.171543788221541,-6.992441913147095
381.0,381.0,-9.759115843456238,-9.18289043379785,-8.700756277436053,-9.759115843577852,-9.182890433807492,-8.700756277454264
388.0,388.0,-13.636771623478078,-10.77915825427599,-10.64767123386103,-13.636771623504474,-10.688246271340006,-10.64746242151792
392.0,392.0,-12.412367039619134,-12.296870368946383,-10.81196694622223,-12.412367039652542,-11.571181413915145,-10.811966946309674
393.0,393.0,-11.679450228222935,-11.561305154472832,-9.533626376673297,-11.679450228235048,-11.561305154473036,-9.533626376685108
394.0,394.0,-13.853717477232907,-13.590344385800874,-13.072693879201845,-13.85247563449486,-13.590344385897964,-13.072693879251213
397.0,397.0,-3.4870892829151847,-3.4284212960880978,-3.1708032164157123,-3.4870892829178786,-3.428421296091454,-3.170803216421745
400.0,400.0,-12.452932293423467,-12.206971079244763,-12.107992325648611,-12.452932293511394,-10.068741905047466,-9.863752235573212
401.0,401.0,-8.748263740968875,-7.330859400645146,-7.307935450805777,-8.381736889184344,-7.1878448627042815,-7.089681281171398
403.0,403.0,-11.402897972241698,-11.196224048360332,-10.46952309211701,-10.935344388346788,-10.700639063481047,-10.399192042919397
405.0,405.0,-5.254508649998044,-5.022182620943676,-3.0323212557689434,-5.254508650187516,-5.022182621029109,-3.032321255822385
406.0,406.0,-9.691760585678857,-9.528349252052275,-8.932688776119514,-9.691760585678862,-9.519182659736439,-8.78637726639076
412.0,412.0,-9.069960300756646,-8.607407131776851,-7.232120999028988,-8.450660783036621,-7.9382700187172395,-6.388430438640452
413.0,413.0,-12.53756956384478,-12.273973477794664,-11.79969194898563,-12.291857190614872,-12.165376062616168,-11.613160747392529
417.0,417.0,-12.679858257454208,-12.627121720663894,-12.626677888300645,-12.67985825745559,-12.627121720714134,-12.626677888579316
419.0,419.0,-5.971903032410141,-5.9192723263736395,-5.816692330247634,-5.971903032430615,-5.919272326412628,-5.816692330304037
420.0,420.0,-8.409688460954284,-8.098770708714847,-8.077457969771888,-8.379090479176165,-8.098770708715291,-8.07745796978457
421.0,421.0,-9.823453085131442,-8.97217883155199,-7.715833666219365,-8.808626103637499,-7.9339658413873835,-7.165296953952374
425.0,425.0,-9.70676560495583,-8.801581812210944,-8.496443697169852,-9.269043032848145,-8.437626402714328,-8.335774061534075
427.0,427.0,-13.64379841267088,-11.330080077251163,-11.167633151634087,-12.476649250079014,-12.437350637732926,-10.677919355763152
428.0,428.0,-9.778264429273587,-9.6095980665889,-9.247509713449375,-9.299183000976015,-9.151625573347498,-8.97190432220581
431.0,431.0,-9.063893844340306,-8.836197840525664,-6.307423621642359,-9.063893844347607,-8.836197840537945,-6.30742362164303
434.0,434.0,-12.819989153118527,-12.083912709639632,-11.46756186799486,-12.819989153127123,-11.363666235849209,-11.088993835082283
435.0,435.0,-4.823736069555302,-4.818995953954256,-8.881784197001254e-16,-4.495864701161919,-4.493609297219084,0.0
436.0,436.0,-1.3862943611198906,-1.2809689807005733,0.0,-1.3862943611198906,-1.2809689807005797,0.0
438.0,438.0,-5.740052857619487,-1.9987191271649893,0.0,-5.740052857668024,-1.975082275198796,0.0
439.0,439.0,-5.666223871511007,-5.542661613311964,0.0,-5.666223871568285,-5.5426616133260875,0.0
442.0,442.0,-9.285469051119861,-9.0296434980419,-7.533775845429083,-9.28546905121677,-9.029643498042313,-7.533775845429537
443.0,443.0,-1.6956095697585558,-1.6094456726787694,-0.09283934236286415,-1.5090697744119606,-0.0025592869638660443,-2.9976021664879246e-15
444.0,444.0,-10.30414765465398,-10.22103298255331,-10.1898643681258,-9.903780856162888,-9.85818454518556,-9.752871455915072
445.0,445.0,-7.199207709792118,-7.115967763188678,-7.090185256242384,-7.1992077097936065,-7.048822019221828,-7.048258832785454
446.0,446.0,-13.511217923227779,-13.499949430681133,-13.45238806660265,-12.401973160617707,-12.368599994602599,-12.2555572075806
448.0,448.0,-13.590142251927926,-13.350528793445005,-12.98130638385709,-12.476649250079019,-11.855862497194158,-11.697333162976884
449.0,449.0,-9.023583236618427,-8.116416297424948,-7.751333455905082,-9.023583236634762,-8.116416297429268,-7.65076641332701
451.0,451.0,-12.807202960317184,-12.719620663666296,-11.504731175683318,-12.80720296036542,-12.7196206636663,-11.504731175685505
